classifier,model1,model2,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,VGG19,MobileNet,128,100,0.853,0.857,0.853,0.851,0.73,0.754,0.73,0.742,0.9840000000000001,0.9840000000000001,0.016,0.27,0.24600000000000002,0.98
RF,Xception,DenseNet121,256,100,0.853,0.8540000000000001,0.853,0.8490000000000001,0.708,0.795,0.708,0.7490000000000001,0.982,0.9840000000000001,0.018000000000000002,0.292,0.205,0.98
RF,VGG16,MobileNetV2,256,500,0.853,0.858,0.853,0.8490000000000001,0.713,0.7959999999999999,0.713,0.752,0.981,0.985,0.019,0.287,0.204,0.98
RF,Xception,MobileNet,256,100,0.853,0.855,0.853,0.847,0.7020000000000001,0.789,0.7020000000000001,0.743,0.981,0.985,0.019,0.298,0.21100000000000002,0.98
RF,VGG19,ResNet50V2,256,100,0.852,0.862,0.852,0.851,0.7190000000000001,0.7879999999999999,0.7190000000000001,0.752,0.983,0.9840000000000001,0.017,0.281,0.212,0.98
RF,VGG16,VGG19,256,100,0.852,0.857,0.852,0.85,0.728,0.748,0.728,0.738,0.983,0.9840000000000001,0.017,0.272,0.252,0.98
RF,VGG16,MobileNet,256,500,0.852,0.855,0.852,0.848,0.7090000000000001,0.792,0.7090000000000001,0.748,0.982,0.9840000000000001,0.018000000000000002,0.29100000000000004,0.20800000000000002,0.98
RF,ResNet101V2,DenseNet169,256,100,0.852,0.856,0.852,0.848,0.725,0.7809999999999999,0.725,0.752,0.981,0.9840000000000001,0.019,0.275,0.21899999999999997,0.98
RF,VGG19,MobileNetV2,128,100,0.851,0.857,0.851,0.8490000000000001,0.725,0.763,0.725,0.7440000000000001,0.983,0.9840000000000001,0.017,0.275,0.237,0.98
RF,MobileNet,DenseNet121,256,500,0.851,0.856,0.851,0.8490000000000001,0.7170000000000001,0.767,0.7170000000000001,0.741,0.983,0.983,0.017,0.28300000000000003,0.233,0.98
RF,MobileNet,DenseNet169,256,500,0.851,0.857,0.851,0.8490000000000001,0.728,0.765,0.728,0.746,0.983,0.9840000000000001,0.017,0.272,0.235,0.98
RF,MobileNet,DenseNet201,256,500,0.851,0.8590000000000001,0.851,0.8490000000000001,0.7240000000000001,0.794,0.7240000000000001,0.757,0.983,0.9840000000000001,0.017,0.276,0.20600000000000002,0.98
RF,MobileNetV2,DenseNet201,256,500,0.851,0.856,0.851,0.848,0.703,0.7859999999999999,0.703,0.742,0.982,0.9840000000000001,0.018000000000000002,0.297,0.214,0.98
RF,VGG19,MobileNetV2,256,500,0.851,0.852,0.851,0.846,0.71,0.78,0.71,0.743,0.981,0.9840000000000001,0.019,0.29,0.22,0.98
RF,VGG16,ResNet50V2,256,100,0.85,0.863,0.85,0.85,0.7240000000000001,0.7979999999999999,0.7240000000000001,0.759,0.983,0.9840000000000001,0.017,0.276,0.20199999999999999,0.98
RF,VGG19,MobileNet,256,100,0.85,0.86,0.85,0.8490000000000001,0.722,0.784,0.722,0.752,0.982,0.9840000000000001,0.018000000000000002,0.278,0.21600000000000003,0.98
RF,DenseNet169,DenseNet201,256,100,0.85,0.8590000000000001,0.85,0.8490000000000001,0.7340000000000001,0.792,0.7340000000000001,0.762,0.983,0.983,0.017,0.266,0.20800000000000002,0.98
RF,VGG16,DenseNet121,128,100,0.85,0.851,0.85,0.847,0.723,0.7659999999999999,0.723,0.7440000000000001,0.982,0.983,0.018000000000000002,0.27699999999999997,0.23399999999999999,0.98
RF,VGG19,DenseNet121,128,100,0.8490000000000001,0.853,0.8490000000000001,0.848,0.7340000000000001,0.76,0.7340000000000001,0.747,0.983,0.983,0.017,0.266,0.24,0.98
RF,MobileNetV2,DenseNet201,128,100,0.8490000000000001,0.8540000000000001,0.8490000000000001,0.848,0.727,0.763,0.727,0.745,0.982,0.983,0.018000000000000002,0.273,0.237,0.98
RF,ResNet50V2,MobileNetV2,256,100,0.848,0.86,0.848,0.8490000000000001,0.722,0.7659999999999999,0.722,0.743,0.9840000000000001,0.983,0.016,0.278,0.23399999999999999,0.98
RF,VGG19,ResNet101V2,256,100,0.848,0.856,0.848,0.847,0.726,0.7759999999999999,0.726,0.75,0.982,0.983,0.018000000000000002,0.27399999999999997,0.22399999999999998,0.98
RF,VGG16,MobileNet,128,500,0.848,0.852,0.848,0.845,0.71,0.762,0.71,0.735,0.982,0.9840000000000001,0.018000000000000002,0.29,0.23800000000000002,0.98
RF,Xception,DenseNet201,256,100,0.848,0.848,0.848,0.8440000000000001,0.721,0.7859999999999999,0.721,0.752,0.981,0.983,0.019,0.27899999999999997,0.214,0.98
RF,VGG19,MobileNet,256,500,0.848,0.855,0.848,0.8440000000000001,0.7090000000000001,0.8,0.7090000000000001,0.752,0.981,0.9840000000000001,0.019,0.29100000000000004,0.2,0.98
RF,MobileNet,MobileNetV2,128,100,0.848,0.848,0.848,0.843,0.718,0.7809999999999999,0.718,0.748,0.981,0.9840000000000001,0.019,0.282,0.21899999999999997,0.98
RF,MobileNet,DenseNet121,128,100,0.848,0.8490000000000001,0.848,0.843,0.71,0.775,0.71,0.741,0.981,0.9840000000000001,0.019,0.29,0.225,0.98
RF,InceptionV3,DenseNet121,256,100,0.848,0.851,0.848,0.843,0.716,0.8,0.716,0.7559999999999999,0.98,0.983,0.02,0.284,0.2,0.98
RF,InceptionV3,DenseNet169,256,100,0.848,0.852,0.848,0.8420000000000001,0.71,0.82,0.71,0.7609999999999999,0.98,0.983,0.02,0.29,0.18,0.98
RF,InceptionV3,MobileNet,256,500,0.848,0.848,0.848,0.841,0.6779999999999999,0.8009999999999999,0.6779999999999999,0.7340000000000001,0.9790000000000001,0.985,0.021,0.322,0.19899999999999998,0.98
RF,VGG16,ResNet152V2,256,500,0.847,0.853,0.847,0.8440000000000001,0.7070000000000001,0.794,0.7070000000000001,0.748,0.981,0.983,0.019,0.293,0.20600000000000002,0.98
RF,DenseNet121,DenseNet201,256,50,0.846,0.857,0.846,0.847,0.745,0.755,0.745,0.75,0.9840000000000001,0.983,0.016,0.255,0.245,0.9790000000000001
RF,VGG16,ResNet101V2,256,100,0.846,0.858,0.846,0.846,0.727,0.775,0.727,0.75,0.983,0.983,0.017,0.273,0.225,0.9790000000000001
RF,VGG19,DenseNet121,256,50,0.846,0.8540000000000001,0.846,0.846,0.746,0.757,0.746,0.7509999999999999,0.983,0.982,0.017,0.254,0.243,0.9790000000000001
RF,VGG19,MobileNet,128,500,0.846,0.852,0.846,0.8440000000000001,0.7170000000000001,0.765,0.7170000000000001,0.74,0.982,0.983,0.018000000000000002,0.28300000000000003,0.235,0.9790000000000001
RF,ResNet50V2,DenseNet121,256,100,0.846,0.853,0.846,0.8440000000000001,0.7240000000000001,0.773,0.7240000000000001,0.748,0.982,0.983,0.018000000000000002,0.276,0.22699999999999998,0.9790000000000001
RF,VGG16,DenseNet201,256,50,0.845,0.8540000000000001,0.845,0.845,0.748,0.743,0.748,0.745,0.983,0.982,0.017,0.252,0.257,0.9790000000000001
RF,MobileNetV2,DenseNet169,128,100,0.845,0.847,0.845,0.8390000000000001,0.706,0.799,0.706,0.75,0.98,0.983,0.02,0.294,0.201,0.9790000000000001
RF,MobileNet,DenseNet169,128,100,0.8440000000000001,0.846,0.8440000000000001,0.841,0.711,0.745,0.711,0.728,0.982,0.983,0.018000000000000002,0.289,0.255,0.9790000000000001
RF,Xception,MobileNetV2,256,500,0.8440000000000001,0.8420000000000001,0.8440000000000001,0.8370000000000001,0.672,0.7759999999999999,0.672,0.72,0.9790000000000001,0.9840000000000001,0.021,0.32799999999999996,0.22399999999999998,0.9790000000000001
RF,VGG16,MobileNet,128,50,0.843,0.86,0.843,0.847,0.747,0.7140000000000001,0.747,0.73,0.985,0.982,0.015,0.253,0.28600000000000003,0.9790000000000001
RF,VGG16,ResNet101V2,256,500,0.843,0.856,0.843,0.8440000000000001,0.732,0.77,0.732,0.7509999999999999,0.983,0.982,0.017,0.268,0.23,0.9790000000000001
RF,VGG19,DenseNet201,128,100,0.843,0.847,0.843,0.8420000000000001,0.7240000000000001,0.7559999999999999,0.7240000000000001,0.74,0.982,0.982,0.018000000000000002,0.276,0.244,0.9790000000000001
RF,VGG16,DenseNet201,256,500,0.843,0.852,0.843,0.8420000000000001,0.73,0.7609999999999999,0.73,0.745,0.982,0.982,0.018000000000000002,0.27,0.239,0.9790000000000001
RF,VGG19,DenseNet201,256,500,0.8420000000000001,0.85,0.8420000000000001,0.841,0.723,0.772,0.723,0.747,0.982,0.982,0.018000000000000002,0.27699999999999997,0.228,0.9790000000000001
RF,ResNet152V2,DenseNet121,256,100,0.8420000000000001,0.8490000000000001,0.8420000000000001,0.84,0.7170000000000001,0.784,0.7170000000000001,0.7490000000000001,0.981,0.982,0.019,0.28300000000000003,0.21600000000000003,0.9790000000000001
RF,ResNet152V2,DenseNet201,256,100,0.8420000000000001,0.8490000000000001,0.8420000000000001,0.84,0.72,0.7979999999999999,0.72,0.757,0.98,0.982,0.02,0.28,0.20199999999999999,0.9790000000000001
RF,Xception,MobileNetV2,256,100,0.8420000000000001,0.845,0.8420000000000001,0.8390000000000001,0.693,0.769,0.693,0.7290000000000001,0.981,0.983,0.019,0.307,0.231,0.9790000000000001
RF,ResNet152V2,DenseNet169,256,100,0.8420000000000001,0.8440000000000001,0.8420000000000001,0.8390000000000001,0.7140000000000001,0.77,0.7140000000000001,0.741,0.981,0.982,0.019,0.28600000000000003,0.23,0.9790000000000001
RF,MobileNetV2,DenseNet169,256,500,0.8420000000000001,0.8440000000000001,0.8420000000000001,0.8390000000000001,0.695,0.778,0.695,0.7340000000000001,0.981,0.983,0.019,0.305,0.222,0.9790000000000001
RF,ResNet152V2,MobileNet,256,500,0.8420000000000001,0.848,0.8420000000000001,0.8370000000000001,0.691,0.779,0.691,0.732,0.98,0.9840000000000001,0.02,0.309,0.221,0.9790000000000001
RF,MobileNet,DenseNet121,256,50,0.841,0.853,0.841,0.843,0.731,0.765,0.731,0.748,0.983,0.982,0.017,0.26899999999999996,0.235,0.9790000000000001
RF,VGG16,MobileNetV2,128,50,0.841,0.851,0.841,0.8420000000000001,0.735,0.721,0.735,0.728,0.9840000000000001,0.982,0.016,0.265,0.27899999999999997,0.9790000000000001
RF,ResNet101V2,DenseNet201,256,100,0.841,0.853,0.841,0.841,0.727,0.778,0.727,0.752,0.982,0.982,0.018000000000000002,0.273,0.222,0.9790000000000001
RF,MobileNet,DenseNet201,128,100,0.841,0.845,0.841,0.8390000000000001,0.718,0.7440000000000001,0.718,0.731,0.981,0.982,0.019,0.282,0.256,0.9790000000000001
RF,InceptionV3,DenseNet201,256,100,0.841,0.846,0.841,0.838,0.7070000000000001,0.7959999999999999,0.7070000000000001,0.7490000000000001,0.98,0.982,0.02,0.293,0.204,0.9790000000000001
RF,MobileNet,DenseNet201,256,50,0.84,0.856,0.84,0.843,0.738,0.758,0.738,0.748,0.9840000000000001,0.982,0.016,0.262,0.242,0.9790000000000001
RF,VGG19,ResNet152V2,256,100,0.84,0.8490000000000001,0.84,0.84,0.7240000000000001,0.754,0.7240000000000001,0.7390000000000001,0.982,0.982,0.018000000000000002,0.276,0.24600000000000002,0.9790000000000001
RF,ResNet101V2,DenseNet169,256,500,0.84,0.846,0.84,0.836,0.7020000000000001,0.785,0.7020000000000001,0.741,0.98,0.982,0.02,0.298,0.215,0.9790000000000001
RF,VGG16,InceptionV3,256,100,0.84,0.8440000000000001,0.84,0.835,0.6920000000000001,0.7709999999999999,0.6920000000000001,0.7290000000000001,0.98,0.983,0.02,0.308,0.22899999999999998,0.9790000000000001
RF,ResNet101V2,MobileNet,256,500,0.84,0.843,0.84,0.833,0.684,0.768,0.684,0.7240000000000001,0.98,0.983,0.02,0.316,0.23199999999999998,0.9790000000000001
RF,ResNet101V2,MobileNet,256,100,0.8390000000000001,0.848,0.8390000000000001,0.8390000000000001,0.715,0.742,0.715,0.728,0.982,0.982,0.018000000000000002,0.285,0.258,0.9790000000000001
RF,VGG16,ResNet101V2,128,100,0.8390000000000001,0.8440000000000001,0.8390000000000001,0.836,0.7070000000000001,0.7440000000000001,0.7070000000000001,0.725,0.981,0.982,0.019,0.293,0.256,0.978
RF,ResNet50V2,MobileNet,128,100,0.8390000000000001,0.8440000000000001,0.8390000000000001,0.836,0.703,0.7509999999999999,0.703,0.726,0.98,0.982,0.02,0.297,0.249,0.9790000000000001
RF,Xception,ResNet50V2,256,100,0.8390000000000001,0.843,0.8390000000000001,0.836,0.6970000000000001,0.758,0.6970000000000001,0.726,0.981,0.983,0.019,0.303,0.242,0.978
RF,Xception,DenseNet169,256,500,0.8390000000000001,0.8440000000000001,0.8390000000000001,0.835,0.693,0.7909999999999999,0.693,0.7390000000000001,0.98,0.982,0.02,0.307,0.209,0.9790000000000001
RF,VGG19,InceptionV3,256,100,0.8390000000000001,0.845,0.8390000000000001,0.8340000000000001,0.698,0.773,0.698,0.7340000000000001,0.98,0.982,0.02,0.302,0.22699999999999998,0.9790000000000001
RF,ResNet152V2,MobileNetV2,256,500,0.8390000000000001,0.843,0.8390000000000001,0.8340000000000001,0.6859999999999999,0.784,0.6859999999999999,0.732,0.9790000000000001,0.983,0.021,0.314,0.21600000000000003,0.9790000000000001
