classifier,model1,model2,model3,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,MobileNetV2,DenseNet169,DenseNet201,256,100,0.88,0.887,0.88,0.8809999999999999,0.7859999999999999,0.8,0.7859999999999999,0.7929999999999999,0.988,0.987,0.012,0.214,0.2,0.9840000000000001
RF,VGG16,ResNet152V2,DenseNet169,256,100,0.878,0.883,0.878,0.877,0.769,0.787,0.769,0.778,0.988,0.987,0.012,0.231,0.213,0.9840000000000001
RF,VGG16,InceptionV3,DenseNet169,256,100,0.877,0.8859999999999999,0.877,0.877,0.775,0.7879999999999999,0.775,0.7809999999999999,0.987,0.987,0.013000000000000001,0.225,0.212,0.9840000000000001
RF,VGG16,DenseNet121,DenseNet169,256,100,0.875,0.882,0.875,0.875,0.7879999999999999,0.794,0.7879999999999999,0.7909999999999999,0.987,0.986,0.013000000000000001,0.212,0.20600000000000002,0.983
RF,VGG16,DenseNet169,DenseNet201,256,100,0.8740000000000001,0.882,0.8740000000000001,0.875,0.7859999999999999,0.782,0.7859999999999999,0.784,0.987,0.985,0.013000000000000001,0.214,0.218,0.983
RF,ResNet152V2,DenseNet169,DenseNet201,256,100,0.8740000000000001,0.882,0.8740000000000001,0.8740000000000001,0.789,0.7959999999999999,0.789,0.792,0.987,0.986,0.013000000000000001,0.21100000000000002,0.204,0.983
RF,ResNet152V2,MobileNetV2,DenseNet201,256,100,0.873,0.883,0.873,0.8740000000000001,0.794,0.807,0.794,0.8,0.987,0.985,0.013000000000000001,0.20600000000000002,0.193,0.983
RF,InceptionV3,MobileNet,DenseNet169,256,100,0.873,0.885,0.873,0.8740000000000001,0.7659999999999999,0.807,0.7659999999999999,0.7859999999999999,0.987,0.986,0.013000000000000001,0.23399999999999999,0.193,0.983
RF,MobileNet,MobileNetV2,DenseNet201,128,100,0.873,0.88,0.873,0.873,0.769,0.7809999999999999,0.769,0.775,0.987,0.986,0.013000000000000001,0.231,0.21899999999999997,0.983
RF,ResNet152V2,InceptionV3,DenseNet169,256,100,0.873,0.8809999999999999,0.873,0.873,0.765,0.794,0.765,0.779,0.987,0.986,0.013000000000000001,0.235,0.20600000000000002,0.983
RF,InceptionV3,DenseNet169,DenseNet201,256,100,0.873,0.882,0.873,0.873,0.789,0.804,0.789,0.7959999999999999,0.987,0.985,0.013000000000000001,0.21100000000000002,0.196,0.983
RF,VGG16,ResNet152V2,DenseNet201,256,100,0.871,0.883,0.871,0.873,0.785,0.779,0.785,0.782,0.988,0.985,0.012,0.215,0.221,0.983
RF,VGG16,MobileNetV2,DenseNet169,256,100,0.871,0.883,0.871,0.873,0.773,0.7979999999999999,0.773,0.785,0.987,0.986,0.013000000000000001,0.22699999999999998,0.20199999999999999,0.983
RF,MobileNet,MobileNetV2,DenseNet201,256,100,0.871,0.8809999999999999,0.871,0.873,0.772,0.774,0.772,0.773,0.987,0.986,0.013000000000000001,0.228,0.226,0.983
RF,VGG16,InceptionV3,MobileNetV2,256,100,0.871,0.8809999999999999,0.871,0.872,0.7609999999999999,0.792,0.7609999999999999,0.7759999999999999,0.986,0.986,0.013999999999999999,0.239,0.20800000000000002,0.983
RF,VGG19,MobileNetV2,DenseNet201,256,100,0.87,0.883,0.87,0.873,0.782,0.782,0.782,0.782,0.987,0.985,0.013000000000000001,0.218,0.218,0.983
RF,VGG16,VGG19,DenseNet169,256,100,0.87,0.8809999999999999,0.87,0.872,0.7879999999999999,0.765,0.7879999999999999,0.7759999999999999,0.987,0.985,0.013000000000000001,0.212,0.235,0.983
RF,InceptionV3,MobileNet,DenseNet121,256,100,0.87,0.8809999999999999,0.87,0.871,0.773,0.794,0.773,0.7829999999999999,0.987,0.985,0.013000000000000001,0.22699999999999998,0.20600000000000002,0.983
RF,VGG16,InceptionV3,DenseNet201,256,100,0.8690000000000001,0.885,0.8690000000000001,0.872,0.779,0.792,0.779,0.785,0.988,0.985,0.012,0.221,0.20800000000000002,0.983
RF,ResNet152V2,MobileNet,DenseNet169,256,100,0.8690000000000001,0.882,0.8690000000000001,0.871,0.763,0.81,0.763,0.7859999999999999,0.987,0.986,0.013000000000000001,0.237,0.19,0.983
RF,InceptionV3,MobileNet,DenseNet201,256,100,0.8690000000000001,0.88,0.8690000000000001,0.871,0.768,0.794,0.768,0.7809999999999999,0.986,0.985,0.013999999999999999,0.23199999999999998,0.20600000000000002,0.983
RF,MobileNet,MobileNetV2,DenseNet169,256,100,0.8690000000000001,0.8809999999999999,0.8690000000000001,0.871,0.7659999999999999,0.784,0.7659999999999999,0.775,0.987,0.985,0.013000000000000001,0.23399999999999999,0.21600000000000003,0.982
RF,ResNet152V2,MobileNetV2,DenseNet169,256,100,0.8690000000000001,0.877,0.8690000000000001,0.87,0.759,0.7759999999999999,0.759,0.767,0.987,0.985,0.013000000000000001,0.24100000000000002,0.22399999999999998,0.982
RF,InceptionV3,MobileNetV2,DenseNet201,256,100,0.868,0.882,0.868,0.871,0.79,0.8029999999999999,0.79,0.7959999999999999,0.986,0.985,0.013999999999999999,0.21,0.19699999999999998,0.982
RF,VGG16,MobileNet,DenseNet201,128,100,0.868,0.879,0.868,0.8690000000000001,0.772,0.763,0.772,0.767,0.987,0.985,0.013000000000000001,0.228,0.237,0.982
RF,ResNet152V2,InceptionV3,DenseNet201,256,100,0.868,0.878,0.868,0.8690000000000001,0.77,0.8009999999999999,0.77,0.785,0.986,0.985,0.013999999999999999,0.23,0.19899999999999998,0.982
RF,VGG16,DenseNet121,DenseNet201,256,100,0.867,0.8809999999999999,0.867,0.87,0.8029999999999999,0.784,0.8029999999999999,0.7929999999999999,0.987,0.985,0.013000000000000001,0.19699999999999998,0.21600000000000003,0.982
