classifier,model1,model2,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc,valid
RF,MobileNet,DenseNet121,256,0.873,0.875,0.873,0.868,0.74,0.8420000000000001,0.74,0.7879999999999999,0.983,0.987,0.017,0.26,0.158,0.983,1
RF,ResNet101V2,MobileNetV2,256,0.873,0.873,0.873,0.865,0.701,0.8809999999999999,0.701,0.7809999999999999,0.982,0.9890000000000001,0.018000000000000002,0.299,0.11900000000000001,0.983,1
RF,MobileNet,DenseNet169,128,0.872,0.8759999999999999,0.872,0.8690000000000001,0.742,0.825,0.742,0.7809999999999999,0.9840000000000001,0.986,0.016,0.258,0.175,0.983,1
RF,ResNet50V2,DenseNet121,128,0.871,0.878,0.871,0.87,0.758,0.813,0.758,0.785,0.985,0.986,0.015,0.242,0.187,0.983,1
RF,DenseNet121,DenseNet201,128,0.871,0.8740000000000001,0.871,0.87,0.7709999999999999,0.802,0.7709999999999999,0.7859999999999999,0.985,0.985,0.015,0.22899999999999998,0.198,0.983,1
RF,InceptionResNetV2,DenseNet169,128,0.871,0.8759999999999999,0.871,0.8690000000000001,0.752,0.83,0.752,0.789,0.985,0.986,0.015,0.248,0.17,0.983,1
RF,ResNet101V2,MobileNet,256,0.871,0.872,0.871,0.8640000000000001,0.6970000000000001,0.871,0.6970000000000001,0.774,0.982,0.988,0.018000000000000002,0.303,0.129,0.983,1
RF,ResNet50V2,MobileNet,256,0.871,0.8740000000000001,0.871,0.862,0.68,0.897,0.68,0.774,0.981,0.9890000000000001,0.019,0.32,0.10300000000000001,0.983,1
RF,VGG19,MobileNet,128,0.87,0.875,0.87,0.868,0.7390000000000001,0.8140000000000001,0.7390000000000001,0.775,0.985,0.987,0.015,0.261,0.18600000000000003,0.983,1
RF,ResNet101V2,DenseNet121,128,0.87,0.875,0.87,0.868,0.754,0.825,0.754,0.7879999999999999,0.9840000000000001,0.986,0.016,0.24600000000000002,0.175,0.983,1
RF,VGG16,InceptionResNetV2,256,0.8690000000000001,0.883,0.8690000000000001,0.87,0.755,0.8290000000000001,0.755,0.79,0.985,0.986,0.015,0.245,0.171,0.983,1
RF,VGG16,MobileNetV2,128,0.8690000000000001,0.873,0.8690000000000001,0.866,0.7240000000000001,0.8059999999999999,0.7240000000000001,0.763,0.985,0.987,0.015,0.276,0.19399999999999998,0.982,1
RF,ResNet101V2,MobileNetV2,128,0.8690000000000001,0.8759999999999999,0.8690000000000001,0.866,0.722,0.8390000000000001,0.722,0.7759999999999999,0.9840000000000001,0.987,0.016,0.278,0.161,0.983,1
RF,InceptionResNetV2,DenseNet121,256,0.8690000000000001,0.87,0.8690000000000001,0.8640000000000001,0.73,0.825,0.73,0.775,0.983,0.986,0.017,0.27,0.175,0.982,1
RF,ResNet50V2,MobileNet,128,0.868,0.872,0.868,0.8640000000000001,0.726,0.8370000000000001,0.726,0.778,0.9840000000000001,0.987,0.016,0.27399999999999997,0.163,0.982,1
RF,VGG19,ResNet50V2,128,0.867,0.8690000000000001,0.867,0.865,0.737,0.8029999999999999,0.737,0.769,0.9840000000000001,0.986,0.016,0.263,0.19699999999999998,0.982,1
RF,VGG19,MobileNetV2,128,0.867,0.87,0.867,0.865,0.74,0.792,0.74,0.765,0.9840000000000001,0.986,0.016,0.26,0.20800000000000002,0.982,1
RF,MobileNet,MobileNetV2,128,0.867,0.87,0.867,0.862,0.6970000000000001,0.8390000000000001,0.6970000000000001,0.7609999999999999,0.983,0.987,0.017,0.303,0.161,0.982,1
RF,Xception,DenseNet121,256,0.867,0.867,0.867,0.862,0.722,0.815,0.722,0.7659999999999999,0.983,0.987,0.017,0.278,0.185,0.982,1
RF,ResNet152V2,MobileNet,256,0.867,0.871,0.867,0.86,0.6920000000000001,0.888,0.6920000000000001,0.778,0.981,0.988,0.019,0.308,0.11199999999999999,0.982,1
RF,MobileNet,MobileNetV2,256,0.867,0.868,0.867,0.8590000000000001,0.684,0.8590000000000001,0.684,0.762,0.981,0.988,0.019,0.316,0.141,0.982,1
RF,Xception,DenseNet169,128,0.866,0.871,0.866,0.866,0.743,0.7809999999999999,0.743,0.762,0.985,0.986,0.015,0.257,0.21899999999999997,0.982,1
RF,DenseNet121,DenseNet169,128,0.866,0.871,0.866,0.865,0.762,0.809,0.762,0.785,0.985,0.985,0.015,0.23800000000000002,0.191,0.982,1
RF,VGG19,InceptionResNetV2,256,0.865,0.872,0.865,0.865,0.7390000000000001,0.8029999999999999,0.7390000000000001,0.77,0.9840000000000001,0.985,0.016,0.261,0.19699999999999998,0.982,1
RF,MobileNetV2,DenseNet121,128,0.865,0.8690000000000001,0.865,0.8640000000000001,0.731,0.802,0.731,0.765,0.9840000000000001,0.986,0.016,0.26899999999999996,0.198,0.982,1
