classifier,model1,model2,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc,valid
RF,Xception,ResNet50V2,256,0.85,0.855,0.85,0.847,0.71,0.794,0.71,0.75,0.982,0.9840000000000001,0.018000000000000002,0.29,0.20600000000000002,0.98,1
RF,ResNet50V2,InceptionResNetV2,256,0.85,0.8540000000000001,0.85,0.846,0.6970000000000001,0.816,0.6970000000000001,0.752,0.981,0.9840000000000001,0.019,0.303,0.184,0.98,1
RF,ResNet50V2,InceptionResNetV2,128,0.8490000000000001,0.855,0.8490000000000001,0.847,0.698,0.79,0.698,0.741,0.982,0.9840000000000001,0.018000000000000002,0.302,0.21,0.98,1
RF,InceptionResNetV2,MobileNet,128,0.8490000000000001,0.856,0.8490000000000001,0.847,0.6890000000000001,0.7829999999999999,0.6890000000000001,0.733,0.983,0.9840000000000001,0.017,0.311,0.217,0.98,1
RF,ResNet50V2,ResNet152V2,128,0.8490000000000001,0.856,0.8490000000000001,0.845,0.685,0.804,0.685,0.74,0.982,0.9840000000000001,0.018000000000000002,0.315,0.196,0.98,1
RF,ResNet50V2,InceptionV3,128,0.848,0.86,0.848,0.846,0.6940000000000001,0.797,0.6940000000000001,0.742,0.983,0.9840000000000001,0.017,0.306,0.203,0.98,1
RF,VGG19,InceptionResNetV2,128,0.847,0.8540000000000001,0.847,0.848,0.736,0.7490000000000001,0.736,0.742,0.9840000000000001,0.983,0.016,0.264,0.251,0.98,1
RF,ResNet152V2,InceptionV3,256,0.847,0.853,0.847,0.843,0.695,0.8220000000000001,0.695,0.753,0.98,0.9840000000000001,0.02,0.305,0.17800000000000002,0.98,1
RF,InceptionV3,MobileNet,128,0.846,0.8540000000000001,0.846,0.8440000000000001,0.7020000000000001,0.784,0.7020000000000001,0.741,0.982,0.9840000000000001,0.018000000000000002,0.298,0.21600000000000003,0.9790000000000001,1
RF,Xception,ResNet101V2,256,0.846,0.853,0.846,0.8440000000000001,0.7070000000000001,0.7909999999999999,0.7070000000000001,0.747,0.982,0.983,0.018000000000000002,0.293,0.209,0.9790000000000001,1
RF,ResNet50V2,InceptionV3,256,0.845,0.857,0.845,0.8420000000000001,0.6940000000000001,0.848,0.6940000000000001,0.763,0.9790000000000001,0.983,0.021,0.306,0.152,0.9790000000000001,1
RF,ResNet101V2,InceptionResNetV2,256,0.8420000000000001,0.852,0.8420000000000001,0.8390000000000001,0.69,0.823,0.69,0.7509999999999999,0.98,0.983,0.02,0.31,0.177,0.9790000000000001,1
RF,VGG19,InceptionV3,128,0.841,0.853,0.841,0.843,0.741,0.7559999999999999,0.741,0.748,0.983,0.982,0.017,0.259,0.244,0.9790000000000001,1
RF,InceptionResNetV2,MobileNet,256,0.841,0.852,0.841,0.8390000000000001,0.698,0.82,0.698,0.754,0.98,0.983,0.02,0.302,0.18,0.9790000000000001,1
RF,Xception,VGG16,128,0.838,0.852,0.838,0.841,0.752,0.727,0.752,0.7390000000000001,0.9840000000000001,0.982,0.016,0.248,0.273,0.978,1
RF,Xception,ResNet152V2,256,0.835,0.846,0.835,0.8340000000000001,0.6970000000000001,0.802,0.6970000000000001,0.746,0.981,0.982,0.019,0.303,0.198,0.978,1
RF,Xception,MobileNet,256,0.8340000000000001,0.841,0.8340000000000001,0.8320000000000001,0.6890000000000001,0.767,0.6890000000000001,0.726,0.98,0.982,0.02,0.311,0.233,0.978,1
RF,ResNet101V2,InceptionResNetV2,128,0.833,0.8490000000000001,0.833,0.835,0.6970000000000001,0.7659999999999999,0.6970000000000001,0.73,0.982,0.981,0.018000000000000002,0.303,0.23399999999999999,0.978,1
RF,InceptionV3,MobileNet,256,0.833,0.84,0.833,0.828,0.68,0.81,0.68,0.7390000000000001,0.9790000000000001,0.982,0.021,0.32,0.19,0.978,1
RF,ResNet101V2,ResNet152V2,128,0.8320000000000001,0.845,0.8320000000000001,0.831,0.68,0.777,0.68,0.725,0.981,0.982,0.019,0.32,0.223,0.978,1
RF,ResNet152V2,InceptionV3,128,0.8320000000000001,0.845,0.8320000000000001,0.83,0.675,0.787,0.675,0.727,0.98,0.982,0.02,0.325,0.213,0.978,1
RF,Xception,VGG19,128,0.826,0.8420000000000001,0.826,0.8290000000000001,0.746,0.728,0.746,0.737,0.983,0.98,0.017,0.254,0.272,0.977,1
RF,ResNet152V2,InceptionResNetV2,128,0.8220000000000001,0.8390000000000001,0.8220000000000001,0.821,0.67,0.77,0.67,0.7170000000000001,0.98,0.981,0.02,0.33,0.23,0.976,1
RF,Xception,ResNet50V2,128,0.82,0.8370000000000001,0.82,0.823,0.716,0.7390000000000001,0.716,0.727,0.981,0.98,0.019,0.284,0.261,0.976,1
RF,ResNet101V2,InceptionV3,128,0.82,0.835,0.82,0.821,0.6829999999999999,0.752,0.6829999999999999,0.716,0.98,0.98,0.02,0.317,0.248,0.976,1
RF,Xception,InceptionResNetV2,256,0.818,0.8320000000000001,0.818,0.8190000000000001,0.687,0.755,0.687,0.7190000000000001,0.9790000000000001,0.9790000000000001,0.021,0.313,0.245,0.976,1
RF,Xception,InceptionV3,256,0.8170000000000001,0.8320000000000001,0.8170000000000001,0.818,0.6829999999999999,0.727,0.6829999999999999,0.7040000000000001,0.98,0.9790000000000001,0.02,0.317,0.273,0.976,1
RF,Xception,MobileNetV2,128,0.8140000000000001,0.825,0.8140000000000001,0.816,0.693,0.71,0.693,0.701,0.98,0.9790000000000001,0.02,0.307,0.29,0.975,1
RF,Xception,ResNet152V2,128,0.81,0.823,0.81,0.812,0.677,0.68,0.677,0.6779999999999999,0.981,0.9790000000000001,0.019,0.32299999999999995,0.32,0.975,1
RF,InceptionV3,InceptionResNetV2,256,0.807,0.82,0.807,0.807,0.672,0.731,0.672,0.7,0.977,0.978,0.023,0.32799999999999996,0.26899999999999996,0.9740000000000001,1
RF,Xception,MobileNet,128,0.802,0.82,0.802,0.8059999999999999,0.684,0.667,0.684,0.675,0.98,0.978,0.02,0.316,0.33299999999999996,0.9740000000000001,1
RF,Xception,ResNet101V2,128,0.8,0.821,0.8,0.804,0.693,0.6729999999999999,0.693,0.6829999999999999,0.98,0.977,0.02,0.307,0.327,0.973,1
RF,Xception,InceptionResNetV2,128,0.799,0.816,0.799,0.802,0.665,0.647,0.665,0.6559999999999999,0.9790000000000001,0.978,0.021,0.335,0.353,0.973,1
RF,Xception,InceptionV3,128,0.797,0.816,0.797,0.8,0.674,0.669,0.674,0.6709999999999999,0.98,0.977,0.02,0.326,0.331,0.973,1
RF,InceptionV3,InceptionResNetV2,128,0.795,0.8140000000000001,0.795,0.799,0.682,0.66,0.682,0.6709999999999999,0.9790000000000001,0.977,0.021,0.318,0.34,0.973,1
