classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,DenseNet121,128,50,0.8220000000000001,0.835,0.8220000000000001,0.8240000000000001,0.726,0.708,0.726,0.7170000000000001,0.982,0.9790000000000001,0.018000000000000002,0.27399999999999997,0.292,0.976
RF,DenseNet201,256,1000,0.821,0.847,0.821,0.826,0.7390000000000001,0.773,0.7390000000000001,0.7559999999999999,0.982,0.9790000000000001,0.018000000000000002,0.261,0.22699999999999998,0.976
RF,ResNet101V2,128,100,0.8170000000000001,0.838,0.8170000000000001,0.821,0.691,0.7240000000000001,0.691,0.7070000000000001,0.981,0.9790000000000001,0.019,0.309,0.276,0.976
RF,Xception,256,50,0.8170000000000001,0.833,0.8170000000000001,0.82,0.695,0.695,0.695,0.695,0.981,0.9790000000000001,0.019,0.305,0.305,0.976
RF,ResNet152V2,256,1000,0.8170000000000001,0.8390000000000001,0.8170000000000001,0.8059999999999999,0.601,0.858,0.601,0.7070000000000001,0.9740000000000001,0.981,0.026000000000000002,0.39899999999999997,0.142,0.976
RF,VGG19,256,1000,0.815,0.828,0.815,0.816,0.6859999999999999,0.722,0.6859999999999999,0.7040000000000001,0.98,0.9790000000000001,0.02,0.314,0.278,0.975
RF,ResNet50V2,128,500,0.813,0.825,0.813,0.8140000000000001,0.711,0.716,0.711,0.713,0.98,0.9790000000000001,0.02,0.289,0.284,0.975
RF,ResNet101V2,256,1000,0.812,0.831,0.812,0.8059999999999999,0.618,0.821,0.618,0.705,0.975,0.98,0.025,0.382,0.179,0.975
RF,ResNet50,128,1000,0.812,0.8170000000000001,0.812,0.7929999999999999,0.536,0.871,0.536,0.664,0.97,0.9840000000000001,0.03,0.46399999999999997,0.129,0.975
RF,ResNet50,128,500,0.8109999999999999,0.8170000000000001,0.8109999999999999,0.804,0.62,0.767,0.62,0.6859999999999999,0.975,0.98,0.025,0.38,0.233,0.975
RF,InceptionResNetV2,256,1000,0.8109999999999999,0.8420000000000001,0.8109999999999999,0.7829999999999999,0.531,0.945,0.531,0.68,0.966,0.985,0.034,0.469,0.055,0.975
RF,ResNet101V2,256,50,0.809,0.838,0.809,0.8170000000000001,0.732,0.674,0.732,0.7020000000000001,0.982,0.978,0.018000000000000002,0.268,0.326,0.975
RF,ResNet152V2,128,500,0.809,0.8240000000000001,0.809,0.809,0.664,0.726,0.664,0.6940000000000001,0.978,0.9790000000000001,0.022000000000000002,0.336,0.27399999999999997,0.975
