classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,ResNet152,256,1000,0.78,0.795,0.78,0.779,0.602,0.711,0.602,0.652,0.9740000000000001,0.975,0.026000000000000002,0.39799999999999996,0.289,0.971
RF,InceptionResNetV2,256,50,0.778,0.8109999999999999,0.778,0.785,0.68,0.6729999999999999,0.68,0.6759999999999999,0.977,0.9740000000000001,0.023,0.32,0.327,0.97
RF,ResNet152V2,128,50,0.777,0.816,0.777,0.7879999999999999,0.6829999999999999,0.629,0.6829999999999999,0.655,0.98,0.975,0.02,0.317,0.371,0.97
RF,InceptionV3,128,500,0.777,0.795,0.777,0.779,0.637,0.6920000000000001,0.637,0.6629999999999999,0.975,0.9740000000000001,0.025,0.363,0.308,0.97
RF,ResNet50,128,50,0.7759999999999999,0.797,0.7759999999999999,0.7809999999999999,0.6809999999999999,0.603,0.6809999999999999,0.64,0.978,0.9740000000000001,0.022000000000000002,0.319,0.397,0.97
RF,ResNet101,256,1000,0.7759999999999999,0.7959999999999999,0.7759999999999999,0.777,0.601,0.693,0.601,0.644,0.975,0.975,0.025,0.39899999999999997,0.307,0.97
RF,Xception,128,500,0.7759999999999999,0.792,0.7759999999999999,0.7759999999999999,0.621,0.662,0.621,0.6409999999999999,0.975,0.9740000000000001,0.025,0.379,0.33799999999999997,0.97
RF,InceptionResNetV2,128,1500,0.775,0.818,0.775,0.733,0.425,0.937,0.425,0.585,0.9590000000000001,0.983,0.040999999999999995,0.575,0.063,0.97
RF,ResNet101,256,100,0.772,0.794,0.772,0.7759999999999999,0.636,0.635,0.636,0.635,0.976,0.9740000000000001,0.024,0.364,0.365,0.97
RF,ResNet152,256,100,0.767,0.795,0.767,0.774,0.6709999999999999,0.644,0.6709999999999999,0.657,0.977,0.973,0.023,0.32899999999999996,0.35600000000000004,0.9690000000000001
RF,DenseNet201,128,1500,0.767,0.821,0.767,0.721,0.401,0.898,0.401,0.5539999999999999,0.956,0.9840000000000001,0.044000000000000004,0.599,0.102,0.9690000000000001
RF,DenseNet169,128,1500,0.767,0.8220000000000001,0.767,0.72,0.395,0.91,0.395,0.551,0.956,0.9840000000000001,0.044000000000000004,0.605,0.09,0.9690000000000001
RF,ResNet152V2,128,1500,0.765,0.82,0.765,0.72,0.39899999999999997,0.88,0.39899999999999997,0.5489999999999999,0.956,0.982,0.044000000000000004,0.601,0.12,0.9690000000000001
RF,ResNet152,256,500,0.763,0.797,0.763,0.77,0.643,0.672,0.643,0.657,0.975,0.973,0.025,0.35700000000000004,0.32799999999999996,0.968
RF,InceptionV3,128,1500,0.763,0.821,0.763,0.7290000000000001,0.413,0.895,0.413,0.565,0.9590000000000001,0.98,0.040999999999999995,0.5870000000000001,0.105,0.968
RF,ResNet101,256,500,0.762,0.797,0.762,0.77,0.649,0.659,0.649,0.654,0.976,0.973,0.024,0.35100000000000003,0.341,0.968
RF,DenseNet121,128,1500,0.76,0.823,0.76,0.72,0.39899999999999997,0.877,0.39899999999999997,0.5479999999999999,0.9570000000000001,0.98,0.043,0.601,0.12300000000000001,0.968
RF,ResNet50,256,50,0.758,0.795,0.758,0.768,0.6559999999999999,0.614,0.6559999999999999,0.634,0.977,0.972,0.023,0.344,0.386,0.968
RF,ResNet50,256,500,0.754,0.785,0.754,0.762,0.626,0.6409999999999999,0.626,0.633,0.9740000000000001,0.972,0.026000000000000002,0.374,0.359,0.9670000000000001
RF,MobileNetV2,128,1500,0.753,0.821,0.753,0.716,0.39299999999999996,0.868,0.39299999999999996,0.541,0.9570000000000001,0.978,0.043,0.607,0.132,0.9670000000000001
