classifier,model1,model2,model3,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,ResNet152V2,MobileNetV2,DenseNet169,128,0.8859999999999999,0.888,0.8859999999999999,0.884,0.768,0.836,0.768,0.8009999999999999,0.987,0.988,0.013000000000000001,0.23199999999999998,0.16399999999999998,0.985
RF,VGG16,VGG19,DenseNet169,256,0.8859999999999999,0.885,0.8859999999999999,0.882,0.76,0.835,0.76,0.7959999999999999,0.985,0.988,0.015,0.24,0.165,0.985
RF,VGG16,MobileNetV2,DenseNet169,256,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.882,0.764,0.857,0.764,0.8079999999999999,0.985,0.988,0.015,0.23600000000000002,0.14300000000000002,0.985
RF,ResNet101V2,InceptionV3,DenseNet169,256,0.8859999999999999,0.885,0.8859999999999999,0.8809999999999999,0.75,0.848,0.75,0.7959999999999999,0.985,0.9890000000000001,0.015,0.25,0.152,0.985
RF,VGG16,ResNet152V2,MobileNet,256,0.885,0.892,0.885,0.884,0.7609999999999999,0.862,0.7609999999999999,0.8079999999999999,0.985,0.988,0.015,0.239,0.138,0.985
RF,VGG16,ResNet152V2,DenseNet121,256,0.885,0.888,0.885,0.883,0.7709999999999999,0.83,0.7709999999999999,0.799,0.986,0.988,0.013999999999999999,0.22899999999999998,0.17,0.985
RF,ResNet101V2,ResNet152V2,DenseNet201,128,0.885,0.885,0.885,0.882,0.7659999999999999,0.826,0.7659999999999999,0.795,0.986,0.988,0.013999999999999999,0.23399999999999999,0.174,0.985
RF,MobileNet,MobileNetV2,DenseNet169,128,0.885,0.887,0.885,0.882,0.758,0.841,0.758,0.797,0.986,0.988,0.013999999999999999,0.242,0.159,0.985
RF,ResNet101V2,DenseNet121,DenseNet201,256,0.885,0.887,0.885,0.882,0.764,0.8490000000000001,0.764,0.804,0.986,0.988,0.013999999999999999,0.23600000000000002,0.151,0.985
RF,ResNet152V2,MobileNet,DenseNet121,256,0.885,0.889,0.885,0.8809999999999999,0.755,0.852,0.755,0.8009999999999999,0.985,0.988,0.015,0.245,0.14800000000000002,0.985
RF,ResNet152V2,MobileNet,DenseNet201,256,0.885,0.8859999999999999,0.885,0.8809999999999999,0.7559999999999999,0.882,0.7559999999999999,0.8140000000000001,0.9840000000000001,0.9890000000000001,0.016,0.244,0.11800000000000001,0.985
RF,ResNet152V2,DenseNet121,DenseNet201,256,0.885,0.884,0.885,0.8809999999999999,0.763,0.847,0.763,0.8029999999999999,0.985,0.988,0.015,0.237,0.153,0.985
RF,InceptionV3,DenseNet121,DenseNet169,256,0.885,0.884,0.885,0.8809999999999999,0.757,0.8320000000000001,0.757,0.7929999999999999,0.986,0.988,0.013999999999999999,0.243,0.168,0.985
RF,VGG16,ResNet152V2,DenseNet169,256,0.884,0.8859999999999999,0.884,0.882,0.7709999999999999,0.8240000000000001,0.7709999999999999,0.797,0.986,0.988,0.013999999999999999,0.22899999999999998,0.17600000000000002,0.985
RF,VGG19,ResNet152V2,MobileNetV2,256,0.884,0.885,0.884,0.88,0.741,0.8340000000000001,0.741,0.785,0.985,0.988,0.015,0.259,0.166,0.9840000000000001
RF,ResNet101V2,ResNet152V2,DenseNet201,256,0.884,0.884,0.884,0.88,0.7509999999999999,0.866,0.7509999999999999,0.804,0.9840000000000001,0.9890000000000001,0.016,0.249,0.134,0.985
RF,ResNet101V2,MobileNet,DenseNet121,256,0.884,0.887,0.884,0.88,0.743,0.8740000000000001,0.743,0.8029999999999999,0.985,0.9890000000000001,0.015,0.257,0.126,0.985
RF,ResNet101V2,MobileNet,DenseNet169,256,0.884,0.883,0.884,0.88,0.753,0.858,0.753,0.802,0.9840000000000001,0.9890000000000001,0.016,0.247,0.142,0.985
RF,ResNet101V2,DenseNet169,DenseNet201,256,0.884,0.884,0.884,0.88,0.759,0.85,0.759,0.802,0.985,0.988,0.015,0.24100000000000002,0.15,0.985
RF,ResNet152V2,MobileNet,DenseNet169,256,0.884,0.884,0.884,0.88,0.752,0.843,0.752,0.795,0.985,0.988,0.015,0.248,0.157,0.9840000000000001
RF,InceptionV3,MobileNetV2,DenseNet169,256,0.884,0.884,0.884,0.88,0.747,0.853,0.747,0.7959999999999999,0.9840000000000001,0.988,0.016,0.253,0.147,0.985
RF,ResNet101V2,ResNet152V2,DenseNet169,128,0.883,0.888,0.883,0.8809999999999999,0.75,0.847,0.75,0.7959999999999999,0.986,0.988,0.013999999999999999,0.25,0.153,0.9840000000000001
RF,InceptionV3,MobileNet,DenseNet201,128,0.883,0.885,0.883,0.8809999999999999,0.7659999999999999,0.8270000000000001,0.7659999999999999,0.795,0.986,0.987,0.013999999999999999,0.23399999999999999,0.17300000000000001,0.9840000000000001
RF,MobileNetV2,DenseNet121,DenseNet169,256,0.883,0.884,0.883,0.88,0.7659999999999999,0.831,0.7659999999999999,0.797,0.985,0.988,0.015,0.23399999999999999,0.16899999999999998,0.9840000000000001
RF,ResNet152V2,DenseNet169,DenseNet201,256,0.883,0.883,0.883,0.879,0.753,0.8490000000000001,0.753,0.7979999999999999,0.9840000000000001,0.988,0.016,0.247,0.151,0.9840000000000001
RF,InceptionV3,DenseNet121,DenseNet201,256,0.883,0.882,0.883,0.879,0.752,0.848,0.752,0.797,0.985,0.988,0.015,0.248,0.152,0.9840000000000001
RF,ResNet101V2,MobileNet,DenseNet201,256,0.883,0.882,0.883,0.877,0.731,0.868,0.731,0.794,0.983,0.9890000000000001,0.017,0.26899999999999996,0.132,0.9840000000000001
RF,VGG19,InceptionV3,DenseNet201,128,0.882,0.884,0.882,0.88,0.77,0.809,0.77,0.789,0.986,0.987,0.013999999999999999,0.23,0.191,0.9840000000000001
RF,VGG19,ResNet101V2,DenseNet169,256,0.882,0.882,0.882,0.879,0.7509999999999999,0.83,0.7509999999999999,0.789,0.985,0.988,0.015,0.249,0.17,0.9840000000000001
RF,VGG19,InceptionV3,DenseNet169,256,0.882,0.883,0.882,0.879,0.762,0.8540000000000001,0.762,0.805,0.985,0.988,0.015,0.23800000000000002,0.146,0.9840000000000001
RF,VGG16,ResNet101V2,MobileNet,256,0.882,0.884,0.882,0.878,0.741,0.8440000000000001,0.741,0.789,0.985,0.988,0.015,0.259,0.156,0.9840000000000001
RF,VGG16,DenseNet169,DenseNet201,256,0.882,0.8809999999999999,0.882,0.878,0.7609999999999999,0.836,0.7609999999999999,0.797,0.985,0.988,0.015,0.239,0.16399999999999998,0.9840000000000001
RF,ResNet152V2,DenseNet121,DenseNet169,256,0.882,0.883,0.882,0.878,0.7490000000000001,0.8340000000000001,0.7490000000000001,0.789,0.985,0.988,0.015,0.251,0.166,0.9840000000000001
RF,InceptionV3,MobileNet,DenseNet201,256,0.882,0.8809999999999999,0.882,0.8759999999999999,0.745,0.855,0.745,0.7959999999999999,0.983,0.988,0.017,0.255,0.145,0.9840000000000001
RF,VGG19,DenseNet121,DenseNet169,256,0.8809999999999999,0.884,0.8809999999999999,0.879,0.765,0.831,0.765,0.797,0.985,0.987,0.015,0.235,0.16899999999999998,0.9840000000000001
RF,VGG19,DenseNet169,DenseNet201,256,0.8809999999999999,0.879,0.8809999999999999,0.878,0.772,0.831,0.772,0.8,0.985,0.987,0.015,0.228,0.16899999999999998,0.9840000000000001
RF,VGG16,InceptionV3,DenseNet201,256,0.8809999999999999,0.8809999999999999,0.8809999999999999,0.877,0.737,0.84,0.737,0.785,0.985,0.988,0.015,0.263,0.16,0.9840000000000001
RF,VGG16,MobileNet,DenseNet169,256,0.8809999999999999,0.8809999999999999,0.8809999999999999,0.877,0.757,0.84,0.757,0.7959999999999999,0.985,0.988,0.015,0.243,0.16,0.9840000000000001
RF,VGG19,ResNet101V2,MobileNetV2,256,0.8809999999999999,0.884,0.8809999999999999,0.877,0.7390000000000001,0.85,0.7390000000000001,0.7909999999999999,0.9840000000000001,0.9890000000000001,0.016,0.261,0.15,0.9840000000000001
RF,ResNet152V2,InceptionV3,DenseNet201,256,0.8809999999999999,0.882,0.8809999999999999,0.8759999999999999,0.7390000000000001,0.873,0.7390000000000001,0.8,0.983,0.988,0.017,0.261,0.127,0.9840000000000001
RF,VGG16,VGG19,ResNet101V2,256,0.88,0.884,0.88,0.879,0.762,0.825,0.762,0.792,0.986,0.987,0.013999999999999999,0.23800000000000002,0.175,0.9840000000000001
RF,VGG16,MobileNet,DenseNet201,128,0.88,0.8809999999999999,0.88,0.878,0.7609999999999999,0.825,0.7609999999999999,0.792,0.986,0.987,0.013999999999999999,0.239,0.175,0.9840000000000001
RF,VGG16,VGG19,MobileNetV2,256,0.88,0.885,0.88,0.878,0.758,0.8420000000000001,0.758,0.7979999999999999,0.985,0.988,0.015,0.242,0.158,0.9840000000000001
RF,VGG16,MobileNetV2,DenseNet121,256,0.88,0.8859999999999999,0.88,0.878,0.741,0.8370000000000001,0.741,0.7859999999999999,0.986,0.988,0.013999999999999999,0.259,0.163,0.9840000000000001
RF,VGG19,DenseNet121,DenseNet201,256,0.88,0.8809999999999999,0.88,0.878,0.773,0.8440000000000001,0.773,0.807,0.985,0.987,0.015,0.22699999999999998,0.156,0.9840000000000001
RF,VGG19,ResNet152V2,MobileNet,256,0.88,0.883,0.88,0.877,0.735,0.8320000000000001,0.735,0.78,0.985,0.988,0.015,0.265,0.168,0.9840000000000001
RF,ResNet101V2,DenseNet121,DenseNet169,256,0.88,0.88,0.88,0.877,0.76,0.843,0.76,0.799,0.985,0.988,0.015,0.24,0.157,0.9840000000000001
RF,ResNet101V2,ResNet152V2,DenseNet121,256,0.88,0.882,0.88,0.8759999999999999,0.74,0.855,0.74,0.7929999999999999,0.985,0.988,0.015,0.26,0.145,0.9840000000000001
RF,ResNet152V2,InceptionV3,DenseNet169,256,0.88,0.88,0.88,0.875,0.737,0.8440000000000001,0.737,0.787,0.9840000000000001,0.988,0.016,0.263,0.156,0.9840000000000001
RF,ResNet152V2,MobileNetV2,DenseNet121,128,0.879,0.8859999999999999,0.879,0.878,0.773,0.8240000000000001,0.773,0.7979999999999999,0.987,0.987,0.013000000000000001,0.22699999999999998,0.17600000000000002,0.9840000000000001
